Organism
Elachista
Tubularia sp.
Campanularia/Obelia
Metridium
Diadumene (formerly Haliplanella)
Electra
Schizoporella
Membranipora
Hippothoa
Cryptosula
Flustrellidra
Microporella
Spermothamnion
Alcyonidium sp.
Acrosiphonia sp.
Ahnfeltia
Bugula
Ceramium
Chordaria
Colpomenia
Dynamena
Enteromorpha
Leathesia
Rhizoclonium
unident bryozoans
Aplidium (formerly Amaroucium)
Botrylloides
Codium
Cystoclonium
Botryllus
Didemnum
Dumontia
Pilayella
Plumaria
Scytosiphon
Spongomorpha sp.
Corallina
Vertebrata
Bonnemaisonia
Prasiola
Fucus Base
Green lichen
Hildenbrandia
Sb. balanoides
Modeolus
Fucus base
Mytilus Edulis
Semibalanus
Mastocarpus crust
Nucella lapillus eggs
Crisularia turrita
Botryllus schlosseri...43
Botryllus schlosseri...47
Dumontia contorta
Bare rock
Fucus spiralis Base
Fucus vesiculosus Base
Chondrus crispus Base
Ascophyllum Base
Lithothamnion
Mastocarpus stellatus Base
Mytilus edilus
Algal parasite on Mastocarpus
bare rock
Chondrous crispus
Ascophyllum
Campanularidae
Crisia eburna
Polyides rotundus
Bryozoan
Dumontia concortum
Levels
Carcinus maenus
Gammarid
Isopods
Nematodes
Nemertean
Oligochaete
Mastocarpus stellatus (crust)
Shell hash
Nucella lapillus (egg case)
Nemalion helminthoides
Lacuna vincta (egg case)
Littorina obtusata (egg case)
L. saxatilis
L. littorea
L. obtusata
Nucella
Acmaea (Tectura = current name)
Carcinus
Anurida
Modiolus
Amphipods
Hiatella
Strongylocentrotu
Annelid Worm
Crepidula
Tonicella rubra (formerly Ischnochiton ruber)
A. vulgaris (= A. rubens)
A. forbesi
Idotea
Pagurus
C. irroratus
C. borealis
Hyale
Lacuna
Nudibranch
Polychaete
Mite
Flatworms
Henricia
Diadumene
Haliplanella
Strongylocentrotus
Halacarus (mite)
Ccancer borealis
Annelid
Turbellarid
Mussel
copepods
sabellid
Tectura testinalis
Ascophyllum *Canopy
Fucus *vesic Canopy
Fucus *spiralis Canopy
Fucus *distichus Canopy
Fucus spp *Canopy
Elachista *canopy
Mastocarpus *Canopy (include Gigartina here--old name)
Chondrus *Canopy
Corallina officinalis*canopy*
Ceramium *Canopy
Codium *Canopy
Ahnfeltia *Canopy
Bare Rock
Black Zone Spp
Shell Hash
Polysiphonia base
Ceranium base
Fucus distichus Base
Fucus vesic Base
Fucus sp. Base
Corallina Officinalis Base
"Coralline Crusts (by 1998 standards, includes Clathromorphum, Lithothamnium, and Phymatolithon)"
Chondrus Base
Ulva lactuca base
Mastocarpus Base
Mytilus
Codium Base
Ralfsia spp
Alaria Base
Alaria *Canopy
Laminaria Base
Laminaria *Canopy
Trailliella (a phase of Bonnemaisonia?)
Ahnfeltia Base
Euthora
Palmaria
Petalonia
Spongomorpha
Tricellaria inopinata
Electra Pilosa
Fucus *sp. Canopy
Cladaria flagilaformis
F. vesiculous base
F.disticus base
F. spp base
Ceramium base
Fucus sp. Canopy
Ceramium Base
Fucus spp base
Vertebrata *Canopy
Tricillaria
Fucus *spp. Canopy
Fucus disticus Base
Fucus spp Base
Ulva intestinalis base
polysiphonia * Canopy
Fucus spiralis base
Unknown brown philamentous algae
Polysiphonia *Canopy
Leathesia *Canopy
Ulva lactuca *Canopy
Fucus Spiralis Base
Unknown brown filamentous algae
Cladostephus * Canopy
Cladostephus Base
Fucus spiralis *Base
Unknown Brown Filamentous Algae
Cladostephus
Rhizocolonium * Canopy
Chaetomorpha * canopy
Ulva lactuca * canopy
Unknown Filamentous Brown Algae
Cladophora * Canopy
Fucus distichus *Canopy
Fucus spiralis *Canopy
Fucus vesiculosus *Canopy
Fucus *Canopy
Chondrus crispus *Canopy
Mastocarpus stellatus *Canopy
Mastocarpus stellatus crust
Ceramium virgatum *Canopy
Ceramium virgatum Base
Alaria esculenta *Canopy
Alaria esculenta Base
Codium fragile *Canopy
Codium fragile Base
Sacchrina latissima *Canopy
Sacchrina latissima Base
Laminaria digitata*Canopy
Laminaria digitata Base
plumeria? ask Kylla for 13(2)
Alaria esculenta (canopy)
Alaria esculenta (primary)
Antithamnion
Ascophyllum nodosum (canopy)
Ascophyllum nodosum (primary)
Ceramium virgatum (canopy)
Chondrus crispus (canopy)
Chondrus crispus (primary)
Codium fragile (canopy)
Codium fragile (primary)
Cyanobacteria
Fucus (canopy)
Fucus (primary)
Fucus distichus (canopy)
Fucus spiralis (canopy)
Fucus vesiculosus (canopy)
Little round green things
Mastocarpus stellatus (canopy)
Mastocarpus stellatus (primary)
Saccharina latissima (canopy)
Saccharina latissima (primary)
Black zone
Bonnemaisonia hamifera (Trailiella phase)
Brown ground
Ceramium virgatum (primary)
Coralline (crust)
Diatom
Polysiphonia (canopy)
Semibalanus balanoides (dead)
Giffordia granulosa
Brown lichen
Fucus distichus (primary)
Fucus vesiculosus (primary)
Feather
Unknown green crust
Red lichen
Polysiphonia (primary)
